Node ID, Recommended nodes
1        23 39 79 80 81 23 39 79 80 81 32 88 86 49 63 
2        29 96 61 72 3 81 55 87 51 33 80 10 12 19 99 
3        2 6 7 8 9 10 11 12 13 15 16 17 18 19 24 
4        67 90 48 39 29 65 47 84 8 11 68 95 61 51 14 
5        4 14 19 26 39 42 48 61 62 71 76 78 84 85 86 
6        70 83 10 32 55 87 61 62 63 74 96 11 53 33 4 
7        85 31 56 67 12 55 10 5 9 7 52 63 15 45 53 
8        63 55 79 80 20 3 31 88 81 83 46 36 27 24 66 
9        62 77 90 12 3 50 66 13 28 6 39 4 1 18 71 
10        18 22 23 24 25 26 27 28 29 30 31 32 33 34 35 
11        28 2 78 23 94 99 3 30 10 62 15 95 57 63 71 
12        99 28 92 95 52 75 16 85 1 89 80 67 7 6 43 
13        17 45 91 57 20 7 49 98 92 23 64 37 2 50 42 
14        91 6 50 11 10 97 49 22 25 47 69 26 31 93 37 
15        87 53 54 41 24 92 27 51 10 26 67 8 13 40 35 
16        62 41 46 34 22 45 29 9 27 7 93 32 73 78 71 
17        5 24 36 38 40 41 51 53 61 79 86 88 90 91 92 
18        48 96 2 4 98 19 72 92 24 76 66 78 9 36 53 
19        70 74 97 32 59 96 41 61 83 98 67 73 24 99 57 
20        3 11 12 14 15 22 25 30 36 39 43 48 49 84 93 
21        42 48 49 79 51 8 73 22 74 71 30 80 6 68 89 
22        97 80 23 11 41 58 69 98 27 12 59 17 32 31 87 
23        3 32 27 16 46 98 7 43 52 13 57 20 17 50 82 
24        79 43 32 6 58 67 66 30 57 14 8 11 75 24 64 
25        1 2 3 4 5 6 13 25 28 35 39 45 47 54 62 
26        30 79 80 52 97 16 39 26 34 35 82 33 1 22 40 
27        99 45 34 65 53 51 46 18 58 40 5 30 85 68 21 
28        29 48 14 62 71 86 3 59 47 13 18 87 54 64 63 
29        15 13 54 51 5 30 23 19 85 34 44 2 33 37 17 
30        94 43 72 95 26 97 87 84 18 46 12 82 90 36 32 
31        7 8 9 10 22 24 32 35 36 37 39 41 42 43 45 
32        79 23 33 80 73 3 32 81 91 62 66 60 72 78 12 
33        3 4 14 24 28 30 39 51 55 56 58 63 80 84 86 
34        62 70 35 43 49 55 83 32 16 50 60 95 53 45 3 
35        82 70 15 3 98 48 54 93 34 16 9 95 97 76 39 
36        77 42 2 39 60 23 7 57 71 76 94 79 93 24 33 
37        6 15 49 89 93 96 35 97 25 84 45 23 95 51 94 
38        2 10 11 12 13 14 15 16 17 18 19 23 25 29 36 
39        5 26 4 37 71 47 97 14 84 29 60 8 61 54 24 
40        47 76 35 6 39 51 16 98 4 32 18 91 37 42 99 
41        55 93 47 69 13 18 12 38 64 33 6 9 17 66 46 
42        23 62 59 82 80 93 28 38 24 61 20 26 5 55 47 
43        61 14 92 93 51 41 21 74 13 85 10 89 4 55 26 
44        58 83 51 22 85 17 24 31 99 64 41 79 10 91 92 
45        6 7 14 20 21 22 23 24 31 37 38 42 44 45 58 
46        97 28 10 66 75 45 78 19 47 27 90 50 8 61 57 
47        56 84 94 32 54 47 15 63 27 77 51 4 73 28 40 
48        1 3 12 24 25 26 27 28 29 30 32 45 47 52 76 
49        10 23 34 99 75 45 67 64 89 48 78 51 4 79 49 
50        62 95 99 82 78 92 84 56 27 51 41 45 35 9 67 
51        6 27 31 32 33 34 35 36 37 38 50 58 78 80 83 
52        67 36 97 84 39 79 35 88 25 23 17 29 19 74 92 
53        53 43 62 67 34 42 40 19 50 3 64 30 41 26 44 
54        42 62 94 60 96 85 34 2 64 26 74 30 39 50 19 
55        1 4 21 30 34 36 39 40 41 42 43 44 50 74 78 
56        38 48 40 47 89 69 91 87 61 49 85 22 97 30 68 
57        10 95 88 51 18 40 3 61 94 34 43 26 28 76 55 
58        60 59 69 72 77 37 38 44 7 28 24 18 58 71 96 
59        4 11 13 15 18 20 23 26 27 31 42 44 45 46 47 
60        35 80 25 78 36 51 5 21 26 38 48 88 67 34 56 
61        87 44 3 20 19 25 88 71 32 27 78 38 59 6 70 
62        49 67 89 54 36 69 10 71 57 8 34 21 48 32 94 
63        67 31 46 45 77 98 79 76 55 13 84 99 96 23 88 
64        2 4 5 11 28 40 53 54 55 56 57 58 59 60 61 
65        29 81 30 20 4 56 24 86 69 26 88 67 1 92 75 
66        63 18 89 98 4 29 69 13 46 37 8 86 75 67 87 
67        93 17 40 13 43 38 28 34 27 99 20 46 10 62 61 
68        2 6 8 10 11 16 23 24 29 30 31 32 33 34 41 
69        86 6 62 10 68 72 51 5 69 22 31 84 95 92 90 
70        50 6 28 62 81 17 57 96 23 44 25 15 97 98 39 
71        8 10 14 15 16 18 21 30 36 40 42 44 45 48 53 
72        1 5 9 10 11 12 14 15 16 23 26 27 41 45 49 
73        83 46 16 68 53 70 19 58 65 86 30 17 41 36 3 
74        1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 
75        93 25 26 89 13 45 46 56 54 82 5 72 85 21 51 
76        3 6 7 8 10 13 14 15 16 17 31 36 39 41 46 
77        2 7 8 10 11 16 18 19 20 21 22 23 24 25 26 
78        31 11 92 58 40 50 83 60 47 62 20 76 22 45 82 
79        3 78 32 49 61 90 57 93 17 46 28 56 26 10 48 
80        44 61 40 32 60 2 90 26 34 49 74 36 89 80 14 
81        11 39 77 68 69 91 17 74 86 60 87 25 4 21 98 
82        8 9 13 17 19 27 30 31 32 33 34 35 36 37 38 
