GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010.Assignment8,LiftRidesData,47,51,7,3,3,12,5,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.Assignment8,SkierData,8,82,0,0,2,15,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.Assignment8,LiftData,3,34,0,0,2,9,0,3,0,3
Assignment for class CS5010,edu.neu.ccs.cs5010.Assignment8,SkiQueryProcessor,65,165,4,8,20,35,3,6,1,2
Assignment for class CS5010,edu.neu.ccs.cs5010.Assignment8,ReadersWriters,3,125,0,10,2,32,0,9,0,4
Assignment for class CS5010,edu.neu.ccs.cs5010.Assignment8,HourData,3,192,1,20,2,24,1,15,0,3
