Node ID, Recommended nodes
1        23 39 79 80 81 23 39 79 80 81 1 3 5 10 17 
2        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
3        2 6 7 8 9 10 11 12 13 15 16 17 18 19 24 
4        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
5        4 14 19 26 39 42 48 61 62 71 76 78 84 85 86 
6        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
7        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
8        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
9        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
10        18 22 23 24 25 26 27 28 29 30 31 32 33 34 35 
11        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
12        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
13        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
14        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
15        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
16        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
17        5 24 36 38 40 41 51 53 61 79 86 88 90 91 92 
18        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
19        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
20        3 11 12 14 15 22 25 30 36 39 43 48 49 84 93 
21        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
22        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
23        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
24        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
25        1 2 3 4 5 6 13 25 28 35 39 45 47 54 62 
26        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
27        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
28        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
29        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
30        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
31        7 8 9 10 22 24 32 35 36 37 39 41 42 43 45 
32        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
33        3 4 14 24 28 30 39 51 55 56 58 63 80 84 86 
34        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
35        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
36        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
37        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
38        2 10 11 12 13 14 15 16 17 18 19 23 25 29 36 
39        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
40        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
41        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
42        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
43        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
44        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
45        6 7 14 20 21 22 23 24 31 37 38 42 44 45 58 
46        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
47        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
48        1 3 12 24 25 26 27 28 29 30 32 45 47 52 76 
49        1 3 5 10 17 20 25 31 33 38 45 48 51 55 59 
