GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010,Generator,56,241,15,25,10,50,14,13,1,3
Assignment for class CS5010,edu.neu.ccs.cs5010,EmailGenerator,130,392,21,17,17,73,16,9,0,6
Assignment for class CS5010,edu.neu.ccs.cs5010,Customer,0,94,0,0,0,20,0,8,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010,Address,0,65,0,0,0,14,0,7,0,7
