GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5010,edu.neu.ccs.cs5010,Generator,297,0,40,0,60,0,27,0,4,0
Assignment for class CS5010,edu.neu.ccs.cs5010,EmailGenerator,481,28,33,3,80,7,22,2,4,2
Assignment for class CS5010,edu.neu.ccs.cs5010,Customer,0,94,0,0,0,20,0,8,0,8
Assignment for class CS5010,edu.neu.ccs.cs5010,Address,0,65,0,0,0,14,0,7,0,7
